hogar,id,sexo,edad,etnia,sector,area,educacion,ingreso
478,1,Masc,36,No indígena,Informal,Urbana,6,10375
478,2,Fem,25,No indígena,Informal,Urbana,3,1800
479,1,Masc,54,No indígena,Formal,Urbana,3,8438
479,2,Fem,52,No indígena,Formal,Urbana,1,7969
479,3,Masc,35,No indígena,Formal,Urbana,6,10000
480,1,Fem,43,No indígena,Formal,Urbana,6,9600
480,2,Masc,22,No indígena,Formal,Urbana,3,6000
480,4,Masc,28,No indígena,Informal,Urbana,6,3500
481,1,Masc,33,No indígena,Formal,Urbana,5,4200
481,2,Fem,34,No indígena,Informal,Urbana,5,4200
483,1,Fem,52,No indígena,Informal,Urbana,6,500
484,1,Masc,39,No indígena,Informal,Urbana,3,0
484,2,Fem,36,No indígena,Informal,Urbana,2,0
484,3,Fem,20,No indígena,Informal,Urbana,1,0
484,4,Fem,16,No indígena,Informal,Urbana,1,0
485,1,Masc,59,No indígena,Informal,Urbana,6,0
485,2,Fem,54,No indígena,Informal,Urbana,3,0
485,3,Fem,35,No indígena,Informal,Urbana,6,0
485,4,Masc,18,No indígena,Informal,Urbana,3,0
485,5,Fem,32,No indígena,Informal,Urbana,5,0
486,1,Masc,70,No indígena,Formal,Urbana,6,12000
486,2,Fem,65,No indígena,Informal,Urbana,6,3000
486,4,Masc,30,No indígena,Formal,Urbana,6,16000
486,5,Fem,28,No indígena,Informal,Urbana,6,16000
487,1,Fem,58,No indígena,Informal,Urbana,3,2000
488,1,Fem,54,No indígena,Informal,Urbana,3,2300
488,3,Masc,24,No indígena,Formal,Urbana,5,10500
279,1,Fem,79,No indígena,Informal,Urbana,6,0
280,1,Masc,43,No indígena,Formal,Urbana,5,22500
283,1,Fem,31,No indígena,Informal,Urbana,6,0
283,2,Masc,40,No indígena,Formal,Urbana,6,10500
284,1,Fem,52,No indígena,Informal,Urbana,6,0
284,2,Masc,29,No indígena,Formal,Urbana,5,24000
284,3,Masc,25,No indígena,Formal,Urbana,5,14400
284,5,Fem,60,No indígena,Formal,Urbana,6,15000
285,1,Masc,56,No indígena,Informal,Urbana,5,0
285,3,Fem,28,No indígena,Informal,Urbana,5,8750
285,4,Fem,25,No indígena,Formal,Urbana,2,7500
286,2,Fem,32,No indígena,Formal,Urbana,5,7500
287,2,Fem,41,No indígena,Informal,Urbana,5,0
287,3,Masc,33,No indígena,Informal,Urbana,3,1500
288,1,Fem,75,No indígena,Informal,Urbana,6,0
288,2,Fem,42,No indígena,Informal,Urbana,5,0
291,1,Fem,48,No indígena,Formal,Urbana,3,12000
291,2,Masc,31,No indígena,Formal,Urbana,5,12000
291,3,Fem,27,No indígena,Formal,Urbana,3,12000
291,7,Masc,69,No indígena,Formal,Urbana,0,12000
291,8,Masc,37,No indígena,Informal,Urbana,3,0
292,3,Masc,48,No indígena,Formal,Urbana,5,12000
292,8,Fem,37,No indígena,Formal,Urbana,5,12000
292,9,Masc,33,No indígena,Formal,Urbana,5,12000
293,1,Fem,45,No indígena,Informal,Urbana,5,18000
414,1,Masc,31,No indígena,Formal,Urbana,6,12000
414,2,Fem,26,No indígena,Formal,Urbana,6,10500
414,3,Fem,18,No indígena,Informal,Urbana,6,10500
415,1,Masc,59,No indígena,Informal,Urbana,3,2000
415,4,Fem,19,No indígena,Formal,Urbana,3,6000
416,2,Fem,28,No indígena,Formal,Urbana,6,11400
417,1,Masc,29,No indígena,Formal,Urbana,6,9000
418,1,Fem,42,No indígena,Informal,Urbana,5,18000
418,2,Fem,20,No indígena,Informal,Urbana,2,9000
419,1,Masc,37,No indígena,Informal,Urbana,3,8000
419,2,Fem,27,No indígena,Informal,Urbana,3,9000
420,1,Masc,28,No indígena,Formal,Urbana,2,9625
421,1,Masc,68,No indígena,Informal,Urbana,3,0
421,2,Fem,63,No indígena,Informal,Urbana,3,0
422,1,Masc,54,No indígena,Formal,Urbana,6,12400
422,2,Fem,46,No indígena,Formal,Urbana,5,11900
422,3,Fem,23,No indígena,Formal,Urbana,5,9000
422,4,Masc,19,No indígena,Informal,Urbana,5,2300
423,2,Fem,63,No indígena,Informal,Urbana,6,0
424,1,Masc,53,No indígena,Informal,Urbana,2,2600
424,2,Fem,48,No indígena,Formal,Urbana,1,2600
424,3,Masc,21,No indígena,Informal,Urbana,6,6000
424,4,Masc,20,No indígena,Informal,Urbana,6,1400
425,3,Fem,62,No indígena,Informal,Urbana,6,0
426,1,Fem,30,No indígena,Formal,Urbana,5,9600
427,2,Masc,30,No indígena,Formal,Urbana,6,11920
427,3,Fem,25,No indígena,Formal,Urbana,3,12800
428,3,Fem,48,No indígena,Formal,Urbana,3,8670
428,4,Masc,50,No indígena,Formal,Urbana,6,11670
429,1,Masc,39,No indígena,Formal,Urbana,5,10500
429,2,Masc,31,No indígena,Formal,Urbana,3,8400
430,1,Masc,45,No indígena,Formal,Urbana,5,24000
430,2,Fem,23,No indígena,Formal,Urbana,5,24000
431,1,Masc,36,No indígena,Formal,Urbana,6,9600
432,1,Fem,43,No indígena,Informal,Urbana,5,6000
433,2,Masc,43,No indígena,Formal,Urbana,3,9310
438,2,Masc,40,No indígena,Formal,Urbana,5,11400
438,3,Fem,40,No indígena,Informal,Urbana,6,3000
439,2,Masc,32,No indígena,Formal,Urbana,6,11400
440,1,Fem,75,No indígena,Formal,Urbana,3,10500
440,2,Fem,29,No indígena,Formal,Urbana,6,15000
447,1,Masc,51,No indígena,Formal,Urbana,5,7706
447,2,Fem,51,No indígena,Informal,Urbana,5,0
448,1,Masc,38,No indígena,Informal,Urbana,5,0
449,1,Masc,59,No indígena,Informal,Urbana,5,10910
449,2,Fem,59,No indígena,Formal,Urbana,6,7000
449,3,Fem,29,No indígena,Formal,Urbana,5,23250
449,4,Masc,31,No indígena,Formal,Urbana,5,12500
453,2,Masc,39,No indígena,Formal,Urbana,5,28000
453,3,Fem,38,No indígena,Formal,Urbana,6,72000
454,1,Masc,36,No indígena,Formal,Urbana,5,10500
454,2,Masc,31,No indígena,Formal,Urbana,3,8700
455,1,Masc,27,No indígena,Formal,Urbana,5,9000
456,1,Masc,65,No indígena,Informal,Urbana,6,0
456,2,Fem,45,No indígena,Informal,Urbana,6,12000
456,4,Masc,19,No indígena,Informal,Urbana,5,2400
457,1,Fem,73,No indígena,Informal,Urbana,3,0
458,1,Masc,48,No indígena,Informal,Urbana,6,4400
458,3,Masc,20,No indígena,Formal,Urbana,5,9000
458,4,Masc,32,No indígena,Formal,Urbana,6,9000
462,1,Fem,50,No indígena,Formal,Urbana,5,32000
462,2,Fem,40,No indígena,Formal,Urbana,5,26000
462,3,Fem,26,No indígena,Informal,Urbana,5,0
463,2,Fem,62,No indígena,Informal,Urbana,6,0
463,3,Fem,26,No indígena,Formal,Urbana,6,20540
463,4,Masc,20,No indígena,Formal,Urbana,5,14125
464,2,Fem,62,No indígena,Formal,Urbana,5,12000
464,4,Masc,30,No indígena,Formal,Urbana,5,12000
541,1,Masc,48,Indígena,Formal,Urbana,3,12138
541,2,Fem,45,Indígena,Formal,Urbana,5,17317
546,1,Masc,46,No indígena,Formal,Urbana,6,9000
546,2,Fem,38,No indígena,Formal,Urbana,6,7500
548,2,Masc,21,No indígena,Formal,Urbana,6,9000
549,1,Masc,51,No indígena,Formal,Urbana,5,9000
549,3,Masc,27,No indígena,Formal,Urbana,5,8400
549,4,Masc,25,No indígena,Formal,Urbana,5,7500
549,5,Fem,20,No indígena,Formal,Urbana,1,12000
551,1,Masc,69,No indígena,Formal,Urbana,5,0
551,3,Masc,41,No indígena,Formal,Urbana,2,17750
551,4,Fem,34,No indígena,Formal,Urbana,2,8400
552,1,Masc,62,No indígena,Formal,Urbana,5,38000
552,2,Fem,55,No indígena,Formal,Urbana,5,24000
552,3,Masc,30,No indígena,Formal,Urbana,5,45000
553,2,Masc,40,No indígena,Formal,Urbana,6,8400
553,3,Fem,28,No indígena,Formal,Urbana,3,9000
553,5,Fem,30,No indígena,Formal,Urbana,3,24000
555,1,Fem,70,No indígena,Informal,Urbana,5,1500
556,3,Fem,44,No indígena,Formal,Urbana,6,19150
556,4,Masc,42,No indígena,Formal,Urbana,6,19150
559,1,Masc,87,No indígena,Informal,Urbana,3,0
577,1,Masc,28,No indígena,Formal,Urbana,6,10800
577,2,Fem,29,Indígena,Informal,Urbana,6,0
583,2,Fem,38,No indígena,Informal,Urbana,5,0
711,1,Fem,40,No indígena,Formal,Urbana,5,21000
712,4,Masc,20,No indígena,Formal,Urbana,3,12000
718,1,Masc,24,No indígena,Informal,Urbana,6,0
540,1,Fem,60,No indígena,Informal,Urbana,6,0
540,2,Fem,30,No indígena,Formal,Urbana,6,8700
542,1,Masc,65,Indígena,Informal,Urbana,2,0
560,1,Masc,46,No indígena,Informal,Urbana,1,4200
560,2,Fem,46,No indígena,Informal,Urbana,0,3600
560,3,Masc,23,No indígena,Informal,Urbana,5,3100
560,4,Masc,21,No indígena,Informal,Urbana,5,10500
562,1,Masc,40,Indígena,Formal,Urbana,6,11400
562,2,Fem,38,Indígena,Informal,Urbana,0,0
562,3,Fem,18,No indígena,Informal,Urbana,5,3000
566,1,Fem,39,No indígena,Informal,Urbana,6,3000
566,2,Masc,35,No indígena,Informal,Urbana,6,12000
570,1,Masc,54,No indígena,Informal,Urbana,5,8700
570,2,Fem,41,No indígena,Informal,Urbana,4,0
570,4,Masc,22,No indígena,Informal,Urbana,5,8700
571,1,Fem,72,No indígena,Informal,Urbana,0,0
571,2,Fem,34,No indígena,Informal,Urbana,6,4400
576,1,Masc,52,No indígena,Informal,Urbana,6,0
576,3,Masc,21,No indígena,Informal,Urbana,4,4200
578,1,Masc,30,No indígena,Informal,Urbana,3,0
581,1,Masc,27,No indígena,Informal,Urbana,6,1440
581,2,Fem,22,No indígena,Informal,Urbana,3,1440
582,2,Fem,40,No indígena,Formal,Urbana,5,7500
582,4,Fem,20,No indígena,Formal,Urbana,1,12000
588,1,Masc,54,No indígena,Informal,Urbana,3,0
588,2,Fem,53,No indígena,Informal,Urbana,6,0
